link,anger,disgust,fear,joy,sadness
https://twitter.com/Calcutta_Times/status/1269926913834758144,0.069978,0.085908,0.039088,0.323488,0.061682
https://twitter.com/TheNachiket/status/1269923751484891138,0.068811,0.101926,0.13125,0.029183,0.420364
https://twitter.com/SumitkadeI/status/1269880689484353536,0.374469,0.115273,0.113987,0.214745,0.240617
https://twitter.com/Trisha_SidNaaz/status/1269871967605145600,0.208792,0.258163,0.031077,0.144255,0.523574
https://twitter.com/__yippiekayak/status/1269863089119215618,0.121469,0.036353,0.083926,0.378989,0.212854
https://twitter.com/rohitjswl01/status/1269856488706670593,0.035186,0.028593,0.022162,0.073652,0.138208
https://twitter.com/khoborwalatv/status/1269314381852147712,0.163748,0.067761,0.076899,0.127622,0.123308
https://twitter.com/RanchiPIB/status/1269168827125739520,0.163748,0.067761,0.076899,0.127622,0.123308
https://twitter.com/PIB_Patna/status/1269155216773038087,0.163748,0.067761,0.076899,0.127622,0.123308
https://twitter.com/Ei_Samay/status/1269125040026550274,0.163748,0.067761,0.076899,0.127622,0.123308
https://twitter.com/archi3archana/status/1269110714859507712,0.339554,0.047996,0.188462,0.089595,0.25867
https://twitter.com/swagoto365/status/1268606292505083906,0.053447,0.025139,0.113298,0.543678,0.235429
https://twitter.com/aarohi_news/status/1268504359660208131,0.151056,0.082323,0.088421,0.33989,0.287457
https://twitter.com/Aishwarya15695/status/1268453758641614848,0.138235,0.011612,0.378123,0.355592,0.301427
https://twitter.com/atik_nawaz/status/1268439760944521216,0.079885,0.024983,0.108763,0.22876,0.046547
https://twitter.com/imrandse12/status/1268340139329110016,0.195363,0.405965,0.097193,0.150864,0.121511
https://twitter.com/HeightsRoad/status/1268145076422635520,0.056576,0.032205,0.145635,0.720957,0.075565
https://twitter.com/SSanyal/status/1267868245031137280,0.117785,0.132929,0.086835,0.543448,0.128245
https://twitter.com/LalmohanChakra4/status/1267863222415060993,0.023579,0.03428,0.025199,0.045393,0.033803
https://twitter.com/ajaykumargande/status/1267848473501528064,0.040036,0.094627,0.026191,0.337081,0.072413
https://twitter.com/BYCS_Kolkata/status/1267781234203267073,0.278588,0.174294,0.403255,0.036228,0.184123
https://twitter.com/sdeepayan/status/1267756967688146944,0.138176,0.248292,0.070307,0.033745,0.63274
https://twitter.com/iamharshpansari/status/1267721705520336896,0.579236,0.226341,0.084188,0.106758,0.224994
https://twitter.com/hmmmalright30/status/1267710034927992832,0.058102,0.093278,0.083974,0.238227,0.287716
https://twitter.com/TOIKolkata/status/1267700727805210624,0.080035,0.034087,0.083499,0.069174,0.636261
https://twitter.com/iindrojit/status/1267698766666178560,0.439286,0.030813,0.166658,0.22217,0.137337
https://twitter.com/sumonseng/status/1267658848397070339,0.107208,0.05494,0.090954,0.055722,0.146646
https://twitter.com/keyakahe/status/1267552478188523520,0.08686,0.072945,0.093654,0.170978,0.172695
https://twitter.com/saurabhbolly/status/1267528345060814850,0.103439,0.090203,0.059338,0.045283,0.054052
https://twitter.com/Im_Singhania/status/1267517794750394370,0.133542,0.063992,0.080324,0.142777,0.115955
https://twitter.com/sanjeev30590222/status/1267509998164283393,0.180315,0.155664,0.65876,0.030044,0.282918
https://twitter.com/KOLLEO/status/1267496135041712128,0.077826,0.071038,0.027456,0.508538,0.102497
https://twitter.com/IndiaToday/status/1267494406812098560,0.061963,0.101221,0.037127,0.206518,0.14471
https://twitter.com/shubha_reloaded/status/1267485707427295233,0.372381,0.167174,0.187503,0.05251,0.537663
https://twitter.com/BYCS_Kolkata/status/1267481852396343300,0.133437,0.088699,0.140111,0.024347,0.219977
https://twitter.com/AnjaniLahoty/status/1267458364864372737,0.145186,0.070115,0.236859,0.158616,0.212414
https://twitter.com/KausshalJain/status/1267446189173035009,0.045094,0.072993,0.149738,0.107446,0.113961
https://twitter.com/vineetaatwork/status/1267439681970425856,0.110897,0.116346,0.138805,0.09084,0.682207
https://twitter.com/apt_advantage/status/1267427543394783235,0.084716,0.074204,0.183557,0.505373,0.141963
https://twitter.com/BharatJ82/status/1267389389669359616,0.275155,0.038232,0.315424,0.232049,0.370706
https://twitter.com/thefirstindia/status/1267371294611460096,0.228993,0.234256,0.126508,0.22269,0.41256
https://twitter.com/GreenPlanetMag1/status/1267300286000963586,0.106778,0.046392,0.098176,0.259738,0.085953
https://twitter.com/ndtv/status/1267300044027248640,0.106778,0.046392,0.098176,0.259738,0.085953
https://twitter.com/iamsagarshah21/status/1267194974954815488,0.110185,0.078062,0.123423,0.301644,0.138406
https://twitter.com/THIEST_SANJU/status/1267097146953588736,0.595592,0.40387,0.139072,0.005403,0.168171
https://twitter.com/thefirstindia/status/1266985386003365889,0.119277,0.172515,0.206285,0.039257,0.663019
https://twitter.com/ShadowPhotogra7/status/1266978015873032193,0.158614,0.123087,0.057467,0.095842,0.05154
https://twitter.com/ashafuddoula199/status/1266810241649463297,0.157162,0.072339,0.040389,0.261266,0.06167
https://twitter.com/latestly/status/1266773064961806336,0.057902,0.081374,0.103092,0.189504,0.13718
