link,anger,disgust,fear,joy,sadness
https://twitter.com/HydTimes/status/1270977818592194560,0.035443,0.086276,0.006986,0.82254,0.042838
https://twitter.com/GautamGada1/status/1270934682943647744,0.05607,0.064769,0.015847,0.762781,0.061975
https://twitter.com/rotalks/status/1270928794916798464,0.146914,0.05544,0.636523,0.212541,0.048564
https://twitter.com/FoxBat_IND/status/1270789251345584128,0.059946,0.113185,0.059591,0.098425,0.736554
https://twitter.com/AnkitSh39191021/status/1270777212174647297,0.037405,0.055949,0.158242,0.190902,0.652032
https://twitter.com/ItvBharat/status/1270766884003045376,0.022377,0.059812,0.108595,0.091198,0.166377
https://twitter.com/chheda_pravin/status/1270764742286512128,0.129743,0.058791,0.04208,0.211996,0.223073
https://twitter.com/mumbaimatterz/status/1270753624998776833,0.163122,0.053978,0.165727,0.036198,0.75932
https://twitter.com/PriyaDalal_/status/1270752900927684616,0.499184,0.385263,0.104634,0.020406,0.314712
https://twitter.com/TopGearMagIndia/status/1270746373508366336,0.044098,0.070669,0.022369,0.059689,0.27141
https://twitter.com/farzi_gyaan/status/1270745276752334856,0.352664,0.098817,0.150122,0.319042,0.235858
https://twitter.com/BT_India/status/1270744938800541696,0.124691,0.015474,0.193187,0.08518,0.552457
https://twitter.com/postistan/status/1270738467316568064,0.136438,0.101282,0.10569,0.323082,0.160873
https://twitter.com/prasadk2k/status/1270728677161132034,0.089559,0.115617,0.288461,0.021142,0.725106
https://twitter.com/jatraacomm/status/1270724975868051457,0.088058,0.087462,0.093992,0.146533,0.167184
https://twitter.com/BKandhari_Prop/status/1270710238216220676,0.05698,0.027943,0.006354,0.689899,0.076535
https://twitter.com/shucoyan/status/1270709772900130822,0.19416,0.035776,0.179405,0.076913,0.712583
https://twitter.com/harjotmankoo/status/1270706091601489920,0.157234,0.133613,0.174739,0.051771,0.222789
https://twitter.com/republic_glitz/status/1270686901633253376,0.135341,0.206423,0.134333,0.207726,0.18288
https://twitter.com/Olagarage/status/1270679745848651778,0.08535,0.049546,0.051652,0.011479,0.300971
https://twitter.com/AnkitMadX/status/1270675065697337344,0.018242,0.010844,0.07849,0.770483,0.127118
https://twitter.com/ClubTinted/status/1270655851401867265,0.073442,0.013169,0.055486,0.063214,0.385862
https://twitter.com/anujgcasting/status/1270654990198030336,0.054707,0.079747,0.00984,0.230587,0.05219
https://twitter.com/Priyanka_208/status/1270644614740021250,0.09816,0.084509,0.04114,0.172329,0.285806
https://twitter.com/SilpyGupta/status/1270642267712356353,0.109491,0.098684,0.152251,0.195529,0.279138
https://twitter.com/Maha_MEDD/status/1270633928131395585,0.027942,0.066991,0.082719,0.098108,0.223127
https://twitter.com/Maha_MEDD/status/1270633602905108491,0.028663,0.072313,0.084191,0.099946,0.224858
https://twitter.com/SpinCommunique/status/1270628682269253632,0.14763,0.231381,0.092775,0.111291,0.231935
https://twitter.com/manasii_d/status/1270628669543682049,0.191282,0.040464,0.116238,0.148843,0.162436
https://twitter.com/aishwar2414/status/1270617203847487488,0.040986,0.071447,0.364245,0.082968,0.340258
https://twitter.com/SMWPramesh/status/1270616195977424897,0.065436,0.017303,0.032007,0.78708,0.031718
https://twitter.com/MandloiRashmi/status/1270600752025788417,0.17998,0.053843,0.29862,0.098294,0.594152
https://twitter.com/ketanbhalala/status/1270599989463519232,0.083165,0.090233,0.058675,0.712734,0.051352
https://twitter.com/THMumbai/status/1270598943613890560,0.193265,0.04075,0.030617,0.072699,0.282668
https://twitter.com/loniless_18/status/1270598001870831622,0.122647,0.058433,0.052109,0.215373,0.137551
https://twitter.com/mid_day/status/1270596731307282433,0.267371,0.15668,0.060351,0.215283,0.165754
https://twitter.com/DelhiTimesTweet/status/1270585942399647746,0.045326,0.055322,0.03885,0.364224,0.359583
https://twitter.com/sandesh_samant/status/1270585074602344448,0.10609,0.08624,0.197366,0.157696,0.243591
https://twitter.com/ComradeAbhi/status/1270583823550615552,0.040991,0.046908,0.033066,0.084031,0.664987
https://twitter.com/boxofficeindia/status/1270581991352623109,0.160495,0.071351,0.187049,0.264855,0.131471
https://twitter.com/AProudIndian8/status/1270574658698522624,0.140132,0.209263,0.309119,0.016382,0.335524
https://twitter.com/sachinmedhekar/status/1270573219804786688,0.484091,0.033893,0.127729,0.044914,0.195193
https://twitter.com/sachinmedhekar/status/1270571990534012931,0.380087,0.040739,0.123609,0.070492,0.200674
https://twitter.com/kunnal/status/1270559917192044545,0.031941,0.033088,0.032801,0.17864,0.282643
https://twitter.com/idemitc/status/1270547794869313536,0.188417,0.155608,0.085035,0.084093,0.655493
https://twitter.com/gyan_duu/status/1270547675172048897,0.020117,0.010431,0.020525,0.19439,0.126655
https://twitter.com/rupadhikari/status/1270541655829917697,0.260149,0.061566,0.071674,0.142502,0.16336
https://twitter.com/99Moonmen/status/1270476702167293956,0.263806,0.085289,0.193613,0.340486,0.275487
https://twitter.com/PeepingMoon/status/1270471343645941760,0.135108,0.13658,0.177677,0.037703,0.216811
https://twitter.com/varunnorway/status/1270448291810021380,0.019604,0.021326,0.068874,0.102307,0.843438
https://twitter.com/varunnorway/status/1270446767360876545,0.202186,0.070023,0.097897,0.054015,0.739899
https://twitter.com/steffyshappypa1/status/1270434383778856962,0.069419,0.206505,0.048469,0.381634,0.205289
https://twitter.com/ShanawazChinoy/status/1270409798094331907,0.14603,0.036076,0.027927,0.486471,0.148893
https://twitter.com/DinooMarino/status/1270408400497762307,0.038081,0.205538,0.204865,0.452161,0.222687
